utc,seconds_from_recording_start,elevation_deg
2026-09-23T22:45:58+00:00,287,27.540898496797762
2026-09-23T22:46:00+00:00,289,27.878798060451654
2026-09-23T22:46:02+00:00,291,28.220490045780267
2026-09-23T22:46:04+00:00,293,28.566026287548375
2026-09-23T22:46:06+00:00,295,28.91545834295914
2026-09-23T22:46:08+00:00,297,29.268837388572017
2026-09-23T22:46:10+00:00,299,29.626214108163953
2026-09-23T22:46:12+00:00,301,29.98763857091205
2026-09-23T22:46:14+00:00,303,30.353160099213106
2026-09-23T22:46:16+00:00,305,30.722827125381986
2026-09-23T22:46:18+00:00,307,31.096687036479686
2026-09-23T22:46:20+00:00,309,31.47478600642049
2026-09-23T22:46:22+00:00,311,31.85716881451955
2026-09-23T22:46:24+00:00,313,32.243878649499806
2026-09-23T22:46:26+00:00,315,32.634956898042994
2026-09-23T22:46:28+00:00,317,33.03044291678374
2026-09-23T22:46:30+00:00,319,33.430373786702695
2026-09-23T22:46:32+00:00,321,33.83478404873168
2026-09-23T22:46:34+00:00,323,34.2437054193574
2026-09-23T22:46:36+00:00,325,34.65716648494267
2026-09-23T22:46:38+00:00,327,35.07519237343456
2026-09-23T22:46:40+00:00,329,35.49780440200648
2026-09-23T22:46:42+00:00,331,35.92501969916956
2026-09-23T22:46:44+00:00,333,36.35685079982468
2026-09-23T22:46:46+00:00,335,36.79330521158861
2026-09-23T22:46:48+00:00,337,37.23438495074398
2026-09-23T22:46:50+00:00,339,37.68008604603849
2026-09-23T22:46:52+00:00,341,38.13039800854434
2026-09-23T22:46:54+00:00,343,38.585303265665104
2026-09-23T22:46:56+00:00,345,39.04477655739247
2026-09-23T22:46:58+00:00,347,39.50878429283308
2026-09-23T22:47:00+00:00,349,39.97728386498062
2026-09-23T22:47:02+00:00,351,40.45022292170924
2026-09-23T22:47:04+00:00,353,40.92753859093398
2026-09-23T22:47:06+00:00,355,41.4091566578892
2026-09-23T22:47:08+00:00,357,41.89499069253052
2026-09-23T22:47:10+00:00,359,42.384941125104575
2026-09-23T22:47:12+00:00,361,42.87889426798457
2026-09-23T22:47:14+00:00,363,43.37672128209963
2026-09-23T22:47:16+00:00,365,43.87827708637494
2026-09-23T22:47:18+00:00,367,44.383399208824926
2026-09-23T22:47:20+00:00,369,44.89190657840068
2026-09-23T22:47:22+00:00,371,45.403598256883654
2026-09-23T22:47:24+00:00,373,45.91825211076302
2026-09-23T22:47:26+00:00,375,46.43562342357335
2026-09-23T22:47:28+00:00,377,46.955443449928154
2026-09-23T22:47:30+00:00,379,47.4774179135225
2026-09-23T22:47:32+00:00,381,48.00122545225003
2026-09-23T22:47:34+00:00,383,48.52651601517654
2026-09-23T22:47:36+00:00,385,49.05290921761693
2026-09-23T22:47:38+00:00,387,49.57999266239996
2026-09-23T22:47:40+00:00,389,50.10732023786477
2026-09-23T22:47:42+00:00,391,50.634410405620194
2026-09-23T22:47:44+00:00,393,51.160744494345515
2026-09-23T22:47:46+00:00,395,51.68576501943681
2026-09-23T22:47:48+00:00,397,52.20887405258664
2026-09-23T22:47:50+00:00,399,52.729431670007
2026-09-23T22:47:52+00:00,401,53.246754513535116
2026-09-23T22:47:54+00:00,403,53.76011450485583
2026-09-23T22:47:56+00:00,405,54.268737759495615
2026-09-23T22:47:58+00:00,407,54.77180375478348
2026-09-23T22:48:00+00:00,409,55.26844481334465
2026-09-23T22:48:02+00:00,411,55.75774597155463
2026-09-23T22:48:04+00:00,413,56.238745310476915
2026-09-23T22:48:06+00:00,415,56.710434833976855
2026-09-23T22:48:08+00:00,417,57.17176198542934
2026-09-23T22:48:10+00:00,419,57.621631899281944
2026-09-23T22:48:12+00:00,421,58.05891048642924
2026-09-23T22:48:14+00:00,423,58.48242845152812
2026-09-23T22:48:16+00:00,425,58.890986335280566
2026-09-23T22:48:18+00:00,427,59.283360664113246
2026-09-23T22:48:20+00:00,429,59.6583112723765
2026-09-23T22:48:22+00:00,431,60.01458983725313
2026-09-23T22:48:24+00:00,433,60.35094963336062
2026-09-23T22:48:26+00:00,435,60.66615647224514
2026-09-23T22:48:28+00:00,437,60.95900074174646
2026-09-23T22:48:30+00:00,439,61.22831040340754
2026-09-23T22:48:32+00:00,441,61.47296474456968
2026-09-23T22:48:34+00:00,443,61.691908618441715
2026-09-23T22:48:36+00:00,445,61.884166845634
2026-09-23T22:48:38+00:00,447,62.048858398552404
2026-09-23T22:48:40+00:00,449,62.185209950722324
2026-09-23T22:48:42+00:00,451,62.292568353678426
2026-09-23T22:48:44+00:00,453,62.37041160608175
2026-09-23T22:48:46+00:00,455,62.418357908020106
2026-09-23T22:48:48+00:00,457,62.436172448145705
2026-09-23T22:48:50+00:00,459,62.42377164938857
2026-09-23T22:48:52+00:00,461,62.38122469773325
2026-09-23T22:48:54+00:00,463,62.30875228961097
2026-09-23T22:48:56+00:00,465,62.206722649966984
2026-09-23T22:48:58+00:00,467,62.07564498525095
2026-09-23T22:49:00+00:00,469,61.91616063578575
2026-09-23T22:49:02+00:00,471,61.72903227292786
2026-09-23T22:49:04+00:00,473,61.51513154382046
2026-09-23T22:49:06+00:00,475,61.275425597253076
2026-09-23T22:49:08+00:00,477,61.01096292988679
2026-09-23T22:49:10+00:00,479,60.7228589740292
2026-09-23T22:49:12+00:00,481,60.41228181061126
2026-09-23T22:49:14+00:00,483,60.08043834085084
2026-09-23T22:49:16+00:00,485,59.728561189809284
2026-09-23T22:49:18+00:00,487,59.35789655224974
2026-09-23T22:49:20+00:00,489,58.96969312919037
2026-09-23T22:49:22+00:00,491,58.565192245948865
2026-09-23T22:49:24+00:00,493,58.14561919099985
2026-09-23T22:49:26+00:00,495,57.71217577293936
2026-09-23T22:49:28+00:00,497,57.2660340579197
2026-09-23T22:49:30+00:00,499,56.808331224458094
2026-09-23T22:49:32+00:00,501,56.340165454378045
2026-09-23T22:49:34+00:00,503,55.86259276720684
2026-09-23T22:49:36+00:00,505,55.37662469999509
2026-09-23T22:49:38+00:00,507,54.88322673296299
2026-09-23T22:49:40+00:00,509,54.38331736416181
2026-09-23T22:49:42+00:00,511,53.87776774073919
2026-09-23T22:49:44+00:00,513,53.367401760984805
2026-09-23T22:49:46+00:00,515,52.852996568829106
2026-09-23T22:49:48+00:00,517,52.335283370203996
2026-09-23T22:49:50+00:00,519,51.81494850858648
2026-09-23T22:49:52+00:00,521,51.29263474491708
2026-09-23T22:49:54+00:00,523,50.76894269432356
2026-09-23T22:49:56+00:00,525,50.24443237843571
2026-09-23T22:49:58+00:00,527,49.71962485879825
2026-09-23T22:50:00+00:00,529,49.19500392190201
2026-09-23T22:50:02+00:00,531,48.67101779128056
2026-09-23T22:50:04+00:00,533,48.148080846616374
2026-09-23T22:50:06+00:00,535,47.62657533312724
2026-09-23T22:50:08+00:00,537,47.10685304794658
2026-09-23T22:50:10+00:00,539,46.58923699286902
2026-09-23T22:50:12+00:00,541,46.07402298511362
2026-09-23T22:50:14+00:00,543,45.56148121966278
2026-09-23T22:50:16+00:00,545,45.051857778595235
2026-09-23T22:50:18+00:00,547,44.54537608390007
2026-09-23T22:50:20+00:00,549,44.04223829167008
2026-09-23T22:50:22+00:00,551,43.54262662628755
2026-09-23T22:50:24+00:00,553,43.04670465418285
2026-09-23T22:50:26+00:00,555,42.55461849725973
2026-09-23T22:50:28+00:00,557,42.066497986538394
2026-09-23T22:50:30+00:00,559,41.58245775710199
2026-09-23T22:50:32+00:00,561,41.10259828569363
2026-09-23T22:50:34+00:00,563,40.627006872441996
2026-09-23T22:50:36+00:00,565,40.15575856854091
2026-09-23T22:50:38+00:00,567,39.68891705181318
2026-09-23T22:50:40+00:00,569,39.22653545201266
2026-09-23T22:50:42+00:00,571,38.7686571280172
2026-09-23T22:50:44+00:00,573,38.315316398931344
2026-09-23T22:50:46+00:00,575,37.866539231135995
2026-09-23T22:50:48+00:00,577,37.42234388340634
2026-09-23T22:50:50+00:00,579,36.98274151213907
2026-09-23T22:50:52+00:00,581,36.547736738571444
2026-09-23T22:50:54+00:00,583,36.11732818006288
2026-09-23T22:50:56+00:00,585,35.691508947319036
2026-09-23T22:50:58+00:00,587,35.270267109243854
2026-09-23T22:51:00+00:00,589,34.853586127418495
2026-09-23T22:51:02+00:00,591,34.44144526169972
2026-09-23T22:51:04+00:00,593,34.03381994870902
2026-09-23T22:51:06+00:00,595,33.63068215466444
2026-09-23T22:51:08+00:00,597,33.232000704134514
2026-09-23T22:51:10+00:00,599,32.837741586139344
2026-09-23T22:51:12+00:00,601,32.4478682388535
2026-09-23T22:51:14+00:00,603,32.062341814316916
2026-09-23T22:51:16+00:00,605,31.681121424327266
2026-09-23T22:51:18+00:00,607,31.304164368670566
2026-09-23T22:51:20+00:00,609,30.931426346785635
2026-09-23T22:51:22+00:00,611,30.562861653973222
2026-09-23T22:51:24+00:00,613,30.198423363004018
2026-09-23T22:51:26+00:00,615,29.838063492188148
2026-09-23T22:51:28+00:00,617,29.481733160701165
2026-09-23T22:51:30+00:00,619,29.129382732010654
2026-09-23T22:51:32+00:00,621,28.780961946212518
2026-09-23T22:51:34+00:00,623,28.436420041979108
2026-09-23T22:51:36+00:00,625,28.095705868795793
2026-09-23T22:51:38+00:00,627,27.758767990197818
2026-09-23T22:51:40+00:00,629,27.42555477854246
2026-09-23T22:51:42+00:00,631,27.096014501929698
2026-09-23T22:51:44+00:00,633,26.770095403819727
2026-09-23T22:51:46+00:00,635,26.447745775820696
2026-09-23T22:51:48+00:00,637,26.12891402411938
2026-09-23T22:51:50+00:00,639,25.81354873003825
2026-09-23T22:51:52+00:00,641,25.5015987050701
2026-09-23T22:51:54+00:00,643,25.193013040855387
2026-09-23T22:51:56+00:00,645,24.887741154387633
2026-09-23T22:51:58+00:00,647,24.585732828843586
2026-09-23T22:52:00+00:00,649,24.28693825033342
2026-09-23T22:52:02+00:00,651,23.991308040851163
2026-09-23T22:52:04+00:00,653,23.698793287751375
2026-09-23T22:52:06+00:00,655,23.409345569964287
2026-09-23T22:52:08+00:00,657,23.122916981206533
2026-09-23T22:52:10+00:00,659,22.839460150420194
2026-09-23T22:52:12+00:00,661,22.558928259659755
2026-09-23T22:52:14+00:00,663,22.28127505956891
2026-09-23T22:52:16+00:00,665,22.00645488272109
2026-09-23T22:52:18+00:00,667,21.73442265491669
2026-09-23T22:52:20+00:00,669,21.465133904621595
2026-09-23T22:52:22+00:00,671,21.198544770704327
2026-09-23T22:52:24+00:00,673,20.934612008611815
2026-09-23T22:52:26+00:00,675,20.67329299507364
2026-09-23T22:52:28+00:00,677,20.414545731523763
2026-09-23T22:52:30+00:00,679,20.158328846271896
2026-09-23T22:52:32+00:00,681,19.904601595592897
2026-09-23T22:52:34+00:00,683,19.653323863787076
2026-09-23T22:52:36+00:00,685,19.404456162313313
2026-09-23T22:52:38+00:00,687,19.157959628108543
2026-09-23T22:52:40+00:00,689,18.913796021103202
2026-09-23T22:52:42+00:00,691,18.671927721074333
2026-09-23T22:52:44+00:00,693,18.43231772385463
2026-09-23T22:52:46+00:00,695,18.19492963697867
2026-09-23T22:52:48+00:00,697,17.959727674814523
2026-09-23T22:52:50+00:00,699,17.726676653258778
2026-09-23T22:52:52+00:00,701,17.495741983991582
2026-09-23T22:52:54+00:00,703,17.266889668388473
2026-09-23T22:52:56+00:00,705,17.040086291111553
2026-09-23T22:52:58+00:00,707,16.815299013394995
2026-09-23T22:53:00+00:00,709,16.59249556610705
2026-09-23T22:53:02+00:00,711,16.37164424258644
2026-09-23T22:53:04+00:00,713,16.152713891282584
2026-09-23T22:53:06+00:00,715,15.935673908254344
2026-09-23T22:53:08+00:00,717,15.720494229526738
2026-09-23T22:53:10+00:00,719,15.507145323336307
2026-09-23T22:53:12+00:00,721,15.295598182295013
2026-09-23T22:53:14+00:00,723,15.085824315486658
2026-09-23T22:53:16+00:00,725,14.877795740508887
2026-09-23T22:53:18+00:00,727,14.671484975481118
2026-09-23T22:53:20+00:00,729,14.46686503103614
2026-09-23T22:53:22+00:00,731,14.263909402317438
2026-09-23T22:53:24+00:00,733,14.062592060967079
2026-09-23T22:53:26+00:00,735,13.862887447145058
2026-09-23T22:53:28+00:00,737,13.664770461584396
2026-09-23T22:53:30+00:00,739,13.468216457667705
2026-09-23T22:53:32+00:00,741,13.273201233565795
2026-09-23T22:53:34+00:00,743,13.079701024437437
2026-09-23T22:53:36+00:00,745,12.88769249467813
2026-09-23T22:53:38+00:00,747,12.697152730245103
2026-09-23T22:53:40+00:00,749,12.50805923106349
2026-09-23T22:53:42+00:00,751,12.320389903492407
2026-09-23T22:53:44+00:00,753,12.134123052909024
2026-09-23T22:53:46+00:00,755,11.949237376343877
2026-09-23T22:53:48+00:00,757,11.765711955231225
2026-09-23T22:53:50+00:00,759,11.58352624824857
2026-09-23T22:53:52+00:00,761,11.402660084252965
2026-09-23T22:53:54+00:00,763,11.223093655307327
2026-09-23T22:53:56+00:00,765,11.044807509825175
2026-09-23T22:53:58+00:00,767,10.867782545805962
2026-09-23T22:54:00+00:00,769,10.69200000417506
2026-09-23T22:54:02+00:00,771,10.517441462229934
2026-09-23T22:54:04+00:00,773,10.344088827189378
2026-09-23T22:54:06+00:00,775,10.171924329857356
2026-09-23T22:54:08+00:00,777,10.000930518376665
2026-09-23T22:54:10+00:00,779,9.831090252102108
2026-09-23T22:54:12+00:00,781,9.662386695575798
2026-09-23T22:54:14+00:00,783,9.494803312604246
2026-09-23T22:54:16+00:00,785,9.328323860440072
2026-09-23T22:54:18+00:00,787,9.162932384080754
2026-09-23T22:54:20+00:00,789,8.998613210650934
2026-09-23T22:54:22+00:00,791,8.835350943905214
2026-09-23T22:54:24+00:00,793,8.67313045882681
2026-09-23T22:54:26+00:00,795,8.51193689631863
2026-09-23T22:54:28+00:00,797,8.351755658012312
